,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,cape town,-33.9258,18.4232,68.0,63,0,18.41,ZA,1612729865
1,jamestown,42.097,-79.2353,16.0,67,90,18.41,US,1612729959
2,komsomolskiy,40.4272,71.7189,41.0,81,99,6.91,UZ,1612729959
3,jeremie,18.65,-74.1167,81.66,58,1,5.3,HT,1612729959
4,busselton,-33.65,115.3333,62.01,99,87,1.99,AU,1612729959
5,vila velha,-20.3297,-40.2925,71.6,94,90,11.5,BR,1612729919
6,kamenka,51.3223,42.7678,-6.5,91,17,9.86,RU,1612729373
7,rikitea,-23.1203,-134.9692,77.4,73,97,13.04,PF,1612729959
8,provideniya,64.3833,-173.3,-3.77,80,66,16.44,RU,1612729959
9,yellowknife,62.456,-114.3525,-34.01,61,1,4.61,CA,1612729960
10,port moresby,-9.4431,147.1797,77.0,94,90,10.36,PG,1612729960
11,sambalpur,21.45,83.9667,56.39,42,1,5.26,IN,1612729960
12,hualmay,-11.0964,-77.6139,76.66,62,99,9.8,PE,1612729443
13,dikson,73.5069,80.5464,-32.1,85,90,15.93,RU,1612729960
14,batticaloa,7.7102,81.6924,77.61,86,14,12.33,LK,1612729960
15,souillac,-20.5167,57.5167,80.6,78,75,9.22,MU,1612729960
16,khatanga,71.9667,102.5,-30.3,80,0,10.11,RU,1612729960
17,lorengau,-2.0226,147.2712,82.18,78,100,6.64,PG,1612729960
18,ulagan,50.6321,87.9563,12.2,84,58,4.59,RU,1612729960
19,sinnamary,5.3833,-52.95,78.37,85,100,14.47,GF,1612729960
20,bengkulu,-3.8004,102.2655,75.31,83,99,6.78,ID,1612729960
21,chuy,-33.6971,-53.4616,71.04,71,41,10.42,UY,1612729960
22,port alfred,-33.5906,26.891,66.99,95,98,7.85,ZA,1612729961
23,punta arenas,-53.15,-70.9167,71.6,23,0,13.8,CL,1612729816
24,shimanovsk,52.0,127.7,-13.09,87,0,8.88,RU,1612729961
25,codrington,-38.2667,141.9667,56.37,70,100,10.2,AU,1612729328
26,aitape,-3.1374,142.3475,77.38,83,99,5.64,PG,1612729961
27,jurilovca,44.7667,28.8667,45.0,93,90,5.75,RO,1612729961
28,victoria,22.2855,114.1577,68.0,83,0,12.3,HK,1612729682
29,hilo,19.7297,-155.09,78.8,53,1,4.61,US,1612729763
30,cherskiy,68.75,161.3,-3.69,68,6,1.48,RU,1612729961
31,hay river,60.8156,-115.7999,-31.0,61,30,4.61,CA,1612729851
32,effium,6.6292,8.0593,86.0,39,100,3.4,NG,1612729961
33,ketchikan,55.3422,-131.6461,30.2,64,1,13.8,US,1612729962
34,hobart,-42.8794,147.3294,55.4,62,75,9.22,AU,1612729804
35,hermanus,-34.4187,19.2345,66.0,79,8,4.88,ZA,1612729962
36,lebu,-37.6167,-73.65,62.56,81,44,7.76,CL,1612729962
37,husavik,66.0449,-17.3389,32.0,80,90,2.3,IS,1612729962
38,terra santa,-2.1042,-56.4869,89.82,54,87,1.41,BR,1612729962
39,kentville,45.0835,-64.4988,30.99,51,100,4.61,CA,1612729962
40,astana,51.1801,71.446,19.4,93,75,15.66,KZ,1612729962
41,mataura,-46.1927,168.8643,63.41,57,98,2.89,NZ,1612729962
42,port augusta,-32.5,137.7667,62.6,72,0,9.22,AU,1612729962
43,muborak,39.2553,65.1528,51.89,65,42,2.46,UZ,1612729962
44,alyangula,-13.8483,136.4192,80.6,89,75,9.22,AU,1612729962
45,rudbar,30.15,62.6,61.92,26,28,10.94,AF,1612729962
46,bluff,-46.6,168.3333,58.26,73,97,5.21,NZ,1612729962
47,ushuaia,-54.8,-68.3,60.8,55,40,8.05,AR,1612729780
48,puerto ayora,-0.7393,-90.3518,86.0,66,40,20.71,EC,1612729963
49,mahebourg,-20.4081,57.7,80.6,78,75,9.22,MU,1612729634
50,progreso,21.2833,-89.6667,89.6,48,75,6.91,MX,1612729963
51,amot,59.5714,7.9877,14.0,80,0,7.0,NO,1612729963
52,barrow,71.2906,-156.7887,-23.8,76,1,11.5,US,1612729882
53,fortuna,40.5982,-124.1573,54.0,81,1,5.75,US,1612729963
54,cidreira,-30.1811,-50.2056,74.25,63,0,8.72,BR,1612729963
55,vaini,-21.2,-175.2,78.8,78,75,12.66,TO,1612729963
56,kapaa,22.0752,-159.319,73.0,56,1,3.29,US,1612729963
57,tuatapere,-46.1333,167.6833,62.08,67,100,6.62,NZ,1612729963
58,banda aceh,5.5577,95.3222,78.91,80,46,6.42,ID,1612729479
59,albany,42.6001,-73.9662,28.99,72,100,3.36,US,1612729804
60,fare,-16.7,-151.0167,81.28,73,87,11.25,PF,1612729467
61,arraial do cabo,-22.9661,-42.0278,73.4,88,75,4.61,BR,1612729964
62,mana,5.6592,-53.7767,78.49,86,97,13.09,GF,1612729964
63,lavrentiya,65.5833,-171.0,-9.89,85,0,9.37,RU,1612729964
64,rock springs,41.5875,-109.2029,37.4,28,1,33.38,US,1612729964
65,seybaplaya,19.65,-90.6667,87.8,55,20,11.5,MX,1612729964
66,ponta do sol,32.6667,-17.1,59.0,68,40,7.0,PT,1612729964
67,hithadhoo,-0.6,73.0833,81.88,70,74,7.27,MV,1612729964
68,sept-iles,50.2001,-66.3821,24.01,58,5,5.75,CA,1612729742
69,narsaq,60.9167,-46.05,37.4,28,53,49.48,GL,1612729964
70,campos belos,-13.0367,-46.7717,67.84,97,100,3.47,BR,1612729964
71,klaksvik,62.2266,-6.589,33.8,86,75,12.66,FO,1612729964
72,bethel,41.3712,-73.414,28.99,93,90,4.61,US,1612729688
73,notse,6.95,1.1667,83.26,70,97,10.71,TG,1612729964
74,biak,-0.9131,122.8766,77.22,79,100,2.08,ID,1612729434
75,saldanha,-33.0117,17.9442,64.4,68,0,14.97,ZA,1612729965
76,san mateo del mar,16.2,-95.0,83.91,62,0,26.98,MX,1612729965
77,singkawang,0.9,109.0,73.42,93,70,4.43,ID,1612729965
78,tuktoyaktuk,69.4541,-133.0374,-25.6,68,75,16.11,CA,1612729965
79,dudinka,69.4058,86.1778,-27.65,81,54,12.01,RU,1612729965
80,tasiilaq,65.6145,-37.6368,24.8,54,0,16.11,GL,1612729965
81,dinghai,26.2847,119.7936,62.6,72,75,6.71,CN,1612729965
82,guerrero negro,27.9769,-114.0611,76.14,19,0,4.52,MX,1612729564
83,antsohihy,-14.8796,47.9875,73.89,93,100,3.02,MG,1612729965
84,mar del plata,-38.0023,-57.5575,61.0,94,90,13.8,AR,1612729673
85,yucca valley,34.1142,-116.4322,66.99,23,3,4.0,US,1612729966
86,porto torres,40.835,8.3972,53.6,71,40,6.91,IT,1612729966
87,morwell,-38.2333,146.4,57.0,73,85,1.01,AU,1612729966
